kind,name,is_served,fold,window,level,level_order,wmape,wrmsse,mape,bias
Base model,LightGBM global,False,backtest_2,backtest,department,5,0.11518039767036051,0.6836159337939582,0.2300810744383478,-0.047003991185227766
Base model,LightGBM global,False,backtest_2,backtest,category,4,0.10112769190038383,0.6515435807310075,0.11033403047938213,-0.04700399118522783
Base model,LightGBM global,False,backtest_2,backtest,store,3,0.08282876447453957,0.5724637854405424,0.08873801094680091,-0.04700399118522767
Base model,LightGBM global,False,backtest_2,backtest,state,2,0.06618276314587555,0.49715764242400623,0.06155621065267177,-0.0470039911852281
Base model,LightGBM global,False,backtest_2,backtest,total,1,0.06618276314587555,0.49715764242400623,0.06155621065267177,-0.0470039911852281
Base model,LightGBM global,False,backtest_2,backtest,item,6,0.7567970204428707,0.8419662374168957,0.5730503111543735,-0.04700399118522777
Base model,LightGBM local,False,backtest_2,backtest,department,5,0.12650636849418626,0.7140602753707865,0.22977573818013966,-0.06258407790716101
Base model,LightGBM local,False,backtest_2,backtest,category,4,0.11368843165351643,0.6911597098605571,0.11894458167028323,-0.0625840779071611
Base model,LightGBM local,False,backtest_2,backtest,store,3,0.09605756641422052,0.6225926690763071,0.10369407028994525,-0.0625840779071612
Base model,LightGBM local,False,backtest_2,backtest,state,2,0.07706381857438709,0.5494644407441701,0.07269784498176156,-0.06258407790716083
Base model,LightGBM local,False,backtest_2,backtest,total,1,0.07706381857438709,0.5494644407441701,0.07269784498176156,-0.06258407790716083
Base model,LightGBM local,False,backtest_2,backtest,item,6,0.7573953049061827,0.8459335255670318,0.5763872932166588,-0.062584077907161
Base model,SARIMA,False,backtest_2,backtest,department,5,0.09986876100588694,0.65647374512118,0.23929631517059088,0.007786567947018066
Base model,SARIMA,False,backtest_2,backtest,category,4,0.08259703568774038,0.6110091563244091,0.10619015926311719,0.000309325854556771
Base model,SARIMA,False,backtest_2,backtest,store,3,0.06566014995559344,0.5565475323939668,0.07586946544082925,-0.0002922931706506086
Base model,SARIMA,False,backtest_2,backtest,state,2,0.05058025948823041,0.4264435744809704,0.04895553111273084,0.016293274756022588
